idx,code,new_code,ast,label
0,"def avg(nums):
    sum, len = 0, len(nums)
    for n in nums:
        sum += int(n)
    return sum / len","def avg(var_1):
    var_2, var_3 = 0, var_3(var_1)
    for var_4 in var_1:
        var_2 += int(var_4)
    return var_2 / var_3","module::left function_definition::left def avg parameters::left ( var_1 ) parameters::right : block::left expression_statement::left assignment::left pattern_list::left var_2 , var_3 pattern_list::right = expression_list::left 0 , call::left var_3 argument_list::left ( var_1 ) argument_list::right call::right expression_list::right assignment::right expression_statement::right for_statement::left for var_4 in var_1 : block::left expression_statement::left augmented_assignment::left var_2 += call::left int argument_list::left ( var_4 ) argument_list::right call::right augmented_assignment::right expression_statement::right block::right for_statement::right return_statement::left return binary_operator::left var_2 / var_3 binary_operator::right return_statement::right block::right function_definition::right module::right",lm
1,"def mul_list(nums1,nums2):
  result = map(lambda x, y: x * y, nums1, nums2)
  return list(result)","def mul_list(var_1,var_2):
  var_3 = map(lambda x, y: x * y, var_1, var_2)
  return list(var_3)","module::left function_definition::left def mul_list parameters::left ( var_1 , var_2 ) parameters::right : block::left expression_statement::left assignment::left var_3 = call::left map argument_list::left ( lambda::left lambda lambda_parameters::left x , y lambda_parameters::right : binary_operator::left x * y binary_operator::right lambda::right , var_1 , var_2 ) argument_list::right call::right assignment::right expression_statement::right return_statement::left return call::left list argument_list::left ( var_3 ) argument_list::right call::right return_statement::right block::right function_definition::right module::right",human
2,"def parallelogram_area(base, height):
    return base*height","def parallelogram_area(var_1, var_2):
    return var_1*var_2","module::left function_definition::left def parallelogram_area parameters::left ( var_1 , var_2 ) parameters::right : block::left return_statement::left return binary_operator::left var_1 * var_2 binary_operator::right return_statement::right block::right function_definition::right module::right",lm
3,"def rearrange(arr):
    i=-1
    for j in range(len(arr)):
        if arr[j] < 0:
            i=i+1
            arr[i], arr[j] = arr[j], arr[i]
    pos = i+1
    neg = 0
    while(pos < len(arr) and neg < pos and arr[neg] < 0):
        arr[pos], arr[neg] = arr[neg], arr[pos]
        pos = pos+1
        neg = neg+2
    return arr","def rearrange(var_1):
    var_2=-1
    for var_3 in range(len(var_1)):
        if var_1[var_3] < 0:
            var_2=var_2+1
            var_1[var_2], var_1[var_3] = var_1[var_3], var_1[var_2]
    var_4 = var_2+1
    var_5 = 0
    while(var_4 < len(var_1) and var_5 < var_4 and var_1[var_5] < 0):
        var_1[var_4], var_1[var_5] = var_1[var_5], var_1[var_4]
        var_4 = var_4+1
        var_5 = var_5+2
    return var_1","module::left function_definition::left def rearrange parameters::left ( var_1 ) parameters::right : block::left expression_statement::left assignment::left var_2 = unary_operator::left - 1 unary_operator::right assignment::right expression_statement::right for_statement::left for var_3 in call::left range argument_list::left ( call::left len argument_list::left ( var_1 ) argument_list::right call::right ) argument_list::right call::right : block::left if_statement::left if comparison_operator::left subscript::left var_1 [ var_3 ] subscript::right < 0 comparison_operator::right : block::left expression_statement::left assignment::left var_2 = binary_operator::left var_2 + 1 binary_operator::right assignment::right expression_statement::right expression_statement::left assignment::left pattern_list::left subscript::left var_1 [ var_2 ] subscript::right , subscript::left var_1 [ var_3 ] subscript::right pattern_list::right = expression_list::left subscript::left var_1 [ var_3 ] subscript::right , subscript::left var_1 [ var_2 ] subscript::right expression_list::right assignment::right expression_statement::right block::right if_statement::right block::right for_statement::right expression_statement::left assignment::left var_4 = binary_operator::left var_2 + 1 binary_operator::right assignment::right expression_statement::right expression_statement::left assignment::left var_5 = 0 assignment::right expression_statement::right while_statement::left while parenthesized_expression::left ( boolean_operator::left boolean_operator::left comparison_operator::left var_4 < call::left len argument_list::left ( var_1 ) argument_list::right call::right comparison_operator::right and comparison_operator::left var_5 < var_4 comparison_operator::right boolean_operator::right and comparison_operator::left subscript::left var_1 [ var_5 ] subscript::right < 0 comparison_operator::right boolean_operator::right ) parenthesized_expression::right : block::left expression_statement::left assignment::left pattern_list::left subscript::left var_1 [ var_4 ] subscript::right , subscript::left var_1 [ var_5 ] subscript::right pattern_list::right = expression_list::left subscript::left var_1 [ var_5 ] subscript::right , subscript::left var_1 [ var_4 ] subscript::right expression_list::right assignment::right expression_statement::right expression_statement::left assignment::left var_4 = binary_operator::left var_4 + 1 binary_operator::right assignment::right expression_statement::right expression_statement::left assignment::left var_5 = binary_operator::left var_5 + 2 binary_operator::right assignment::right expression_statement::right block::right while_statement::right return_statement::left return var_1 return_statement::right block::right function_definition::right module::right",lm
4,"3
def remove_duplicates(test_tup, fill_val): 
  res = [] 
  seen = set() 
  for ele in test_tup: 
    if ele not in seen: 
      res.append(ele) 
      seen.add(ele) 
    else: 
      res.append(fill_val) 
  return (res)","3
def remove_duplicates(var_1, var_2): 
  var_3 = [] 
  var_4 = set() 
  for var_5 in var_1: 
    if var_5 not in var_4: 
      var_3.append(var_5) 
      var_4.add(var_5) 
    else: 
      var_3.append(var_2) 
  return (var_3)","module::left expression_statement::left 3 expression_statement::right function_definition::left def remove_duplicates parameters::left ( var_1 , var_2 ) parameters::right : block::left expression_statement::left assignment::left var_3 = list::left [ ] list::right assignment::right expression_statement::right expression_statement::left assignment::left var_4 = call::left set argument_list::left ( ) argument_list::right call::right assignment::right expression_statement::right for_statement::left for var_5 in var_1 : block::left if_statement::left if comparison_operator::left var_5 not in var_4 comparison_operator::right : block::left expression_statement::left call::left attribute::left var_3 . append attribute::right argument_list::left ( var_5 ) argument_list::right call::right expression_statement::right expression_statement::left call::left attribute::left var_4 . add attribute::right argument_list::left ( var_5 ) argument_list::right call::right expression_statement::right block::right else_clause::left else : block::left expression_statement::left call::left attribute::left var_3 . append attribute::right argument_list::left ( var_2 ) argument_list::right call::right expression_statement::right block::right else_clause::right if_statement::right block::right for_statement::right return_statement::left return parenthesized_expression::left ( var_3 ) parenthesized_expression::right return_statement::right block::right function_definition::right module::right",lm
5,"def sum_of_range_in_list(list1, start_index, end_index):
    return sum(list1[start_index:end_index + 1])","def sum_of_range_in_list(var_1, var_2, var_3):
    return sum(var_1[var_2:var_3 + 1])","module::left function_definition::left def sum_of_range_in_list parameters::left ( var_1 , var_2 , var_3 ) parameters::right : block::left return_statement::left return call::left sum argument_list::left ( subscript::left var_1 [ slice::left var_2 : binary_operator::left var_3 + 1 binary_operator::right slice::right ] subscript::right ) argument_list::right call::right return_statement::right block::right function_definition::right module::right",lm
6,"def check_monthnumber(monthname3):
  if monthname3 ==""April"" or monthname3== ""June"" or monthname3== ""September"" or monthname3== ""November"":
    return True
  else:
    return False","def check_monthnumber(var_1):
  if var_1 ==""April"" or var_1== ""June"" or var_1== ""September"" or var_1== ""November"":
    return True
  else:
    return False","module::left function_definition::left def check_monthnumber parameters::left ( var_1 ) parameters::right : block::left if_statement::left if boolean_operator::left boolean_operator::left boolean_operator::left comparison_operator::left var_1 == string::left "" April "" string::right comparison_operator::right or comparison_operator::left var_1 == string::left "" June "" string::right comparison_operator::right boolean_operator::right or comparison_operator::left var_1 == string::left "" September "" string::right comparison_operator::right boolean_operator::right or comparison_operator::left var_1 == string::left "" November "" string::right comparison_operator::right boolean_operator::right : block::left return_statement::left return True return_statement::right block::right else_clause::left else : block::left return_statement::left return False return_statement::right block::right else_clause::right if_statement::right block::right function_definition::right module::right",human
7,"import cmath

def get_length_complex(complex_num):
    """"""Get the length of a complex number.""""""
    return abs(complex_num)","import cmath

def get_length_complex(var_1):
    """"""Get the length of a complex number.""""""
    return abs(var_1)","module::left import_statement::left import dotted_name::left cmath dotted_name::right import_statement::right function_definition::left def get_length_complex parameters::left ( var_1 ) parameters::right : block::left expression_statement::left string::left """""" Get the length of a complex number. """""" string::right expression_statement::right return_statement::left return call::left abs argument_list::left ( var_1 ) argument_list::right call::right return_statement::right block::right function_definition::right module::right",lm
8,"def max_sum(tri, n): 
	if n > 1: 
		tri[1][1] = tri[1][1]+tri[0][0] 
		tri[1][0] = tri[1][0]+tri[0][0] 
	for i in range(2, n): 
		tri[i][0] = tri[i][0] + tri[i-1][0] 
		tri[i][i] = tri[i][i] + tri[i-1][i-1] 
		for j in range(1, i): 
			if tri[i][j]+tri[i-1][j-1] >= tri[i][j]+tri[i-1][j]: 
				tri[i][j] = tri[i][j] + tri[i-1][j-1] 
			else: 
				tri[i][j] = tri[i][j]+tri[i-1][j] 
	return (max(tri[n-1]))","def max_sum(var_1, var_2): 
	if var_2 > 1: 
		var_1[1][1] = var_1[1][1]+var_1[0][0] 
		var_1[1][0] = var_1[1][0]+var_1[0][0] 
	for var_3 in range(2, var_2): 
		var_1[var_3][0] = var_1[var_3][0] + var_1[var_3-1][0] 
		var_1[var_3][var_3] = var_1[var_3][var_3] + var_1[var_3-1][var_3-1] 
		for var_4 in range(1, var_3): 
			if var_1[var_3][var_4]+var_1[var_3-1][var_4-1] >= var_1[var_3][var_4]+var_1[var_3-1][var_4]: 
				var_1[var_3][var_4] = var_1[var_3][var_4] + var_1[var_3-1][var_4-1] 
			else: 
				var_1[var_3][var_4] = var_1[var_3][var_4]+var_1[var_3-1][var_4] 
	return (max(var_1[var_2-1]))","module::left function_definition::left def max_sum parameters::left ( var_1 , var_2 ) parameters::right : block::left if_statement::left if comparison_operator::left var_2 > 1 comparison_operator::right : block::left expression_statement::left assignment::left subscript::left subscript::left var_1 [ 1 ] subscript::right [ 1 ] subscript::right = binary_operator::left subscript::left subscript::left var_1 [ 1 ] subscript::right [ 1 ] subscript::right + subscript::left subscript::left var_1 [ 0 ] subscript::right [ 0 ] subscript::right binary_operator::right assignment::right expression_statement::right expression_statement::left assignment::left subscript::left subscript::left var_1 [ 1 ] subscript::right [ 0 ] subscript::right = binary_operator::left subscript::left subscript::left var_1 [ 1 ] subscript::right [ 0 ] subscript::right + subscript::left subscript::left var_1 [ 0 ] subscript::right [ 0 ] subscript::right binary_operator::right assignment::right expression_statement::right block::right if_statement::right for_statement::left for var_3 in call::left range argument_list::left ( 2 , var_2 ) argument_list::right call::right : block::left expression_statement::left assignment::left subscript::left subscript::left var_1 [ var_3 ] subscript::right [ 0 ] subscript::right = binary_operator::left subscript::left subscript::left var_1 [ var_3 ] subscript::right [ 0 ] subscript::right + subscript::left subscript::left var_1 [ binary_operator::left var_3 - 1 binary_operator::right ] subscript::right [ 0 ] subscript::right binary_operator::right assignment::right expression_statement::right expression_statement::left assignment::left subscript::left subscript::left var_1 [ var_3 ] subscript::right [ var_3 ] subscript::right = binary_operator::left subscript::left subscript::left var_1 [ var_3 ] subscript::right [ var_3 ] subscript::right + subscript::left subscript::left var_1 [ binary_operator::left var_3 - 1 binary_operator::right ] subscript::right [ binary_operator::left var_3 - 1 binary_operator::right ] subscript::right binary_operator::right assignment::right expression_statement::right for_statement::left for var_4 in call::left range argument_list::left ( 1 , var_3 ) argument_list::right call::right : block::left if_statement::left if comparison_operator::left binary_operator::left subscript::left subscript::left var_1 [ var_3 ] subscript::right [ var_4 ] subscript::right + subscript::left subscript::left var_1 [ binary_operator::left var_3 - 1 binary_operator::right ] subscript::right [ binary_operator::left var_4 - 1 binary_operator::right ] subscript::right binary_operator::right >= binary_operator::left subscript::left subscript::left var_1 [ var_3 ] subscript::right [ var_4 ] subscript::right + subscript::left subscript::left var_1 [ binary_operator::left var_3 - 1 binary_operator::right ] subscript::right [ var_4 ] subscript::right binary_operator::right comparison_operator::right : block::left expression_statement::left assignment::left subscript::left subscript::left var_1 [ var_3 ] subscript::right [ var_4 ] subscript::right = binary_operator::left subscript::left subscript::left var_1 [ var_3 ] subscript::right [ var_4 ] subscript::right + subscript::left subscript::left var_1 [ binary_operator::left var_3 - 1 binary_operator::right ] subscript::right [ binary_operator::left var_4 - 1 binary_operator::right ] subscript::right binary_operator::right assignment::right expression_statement::right block::right else_clause::left else : block::left expression_statement::left assignment::left subscript::left subscript::left var_1 [ var_3 ] subscript::right [ var_4 ] subscript::right = binary_operator::left subscript::left subscript::left var_1 [ var_3 ] subscript::right [ var_4 ] subscript::right + subscript::left subscript::left var_1 [ binary_operator::left var_3 - 1 binary_operator::right ] subscript::right [ var_4 ] subscript::right binary_operator::right assignment::right expression_statement::right block::right else_clause::right if_statement::right block::right for_statement::right block::right for_statement::right return_statement::left return parenthesized_expression::left ( call::left max argument_list::left ( subscript::left var_1 [ binary_operator::left var_2 - 1 binary_operator::right ] subscript::right ) argument_list::right call::right ) parenthesized_expression::right return_statement::right block::right function_definition::right module::right",human
9,"def Check_Solution(a,b,c): 
    if (a == c): 
        return (""Yes""); 
    else: 
        return (""No""); ","def Check_Solution(var_1,var_2,var_3): 
    if (var_1 == var_3): 
        return (""Yes""); 
    else: 
        return (""No""); ","module::left function_definition::left def Check_Solution parameters::left ( var_1 , var_2 , var_3 ) parameters::right : block::left if_statement::left if parenthesized_expression::left ( comparison_operator::left var_1 == var_3 comparison_operator::right ) parenthesized_expression::right : block::left return_statement::left return parenthesized_expression::left ( string::left "" Yes "" string::right ) parenthesized_expression::right return_statement::right ; block::right else_clause::left else : block::left return_statement::left return parenthesized_expression::left ( string::left "" No "" string::right ) parenthesized_expression::right return_statement::right ; block::right else_clause::right if_statement::right block::right function_definition::right module::right",human
